id	uri
3481887	<http://wikidata.dbpedia.org/ontology/Non-ProfitOrganisation>
3481766	<http://wikidata.dbpedia.org/ontology/Novel>
3481486	<http://wikidata.dbpedia.org/ontology/OfficeHolder>
3481759	<http://wikidata.dbpedia.org/ontology/OlympicEvent>
3481995	<http://wikidata.dbpedia.org/ontology/OlympicResult>
3481758	<http://wikidata.dbpedia.org/ontology/Olympics>
3481565	<http://wikidata.dbpedia.org/ontology/Organisation>
3481934	<http://wikidata.dbpedia.org/ontology/OrganisationMember>
3481943	<http://wikidata.dbpedia.org/ontology/Painter>
3481711	<http://wikidata.dbpedia.org/ontology/Park>
3481627	<http://wikidata.dbpedia.org/ontology/PeriodicalLiterature>
3481454	<http://wikidata.dbpedia.org/ontology/Person>
3481869	<http://wikidata.dbpedia.org/ontology/Philosopher>
3482083	<http://wikidata.dbpedia.org/ontology/Photographer>
3481468	<http://wikidata.dbpedia.org/ontology/Place>
3481833	<http://wikidata.dbpedia.org/ontology/Planet>
3481477	<http://wikidata.dbpedia.org/ontology/Plant>
3481912	<http://wikidata.dbpedia.org/ontology/Play>
3482040	<http://wikidata.dbpedia.org/ontology/PlayboyPlaymate>
3481976	<http://wikidata.dbpedia.org/ontology/Poem>
3482097	<http://wikidata.dbpedia.org/ontology/Poet>
3481483	<http://wikidata.dbpedia.org/ontology/PokerPlayer>
3481681	<http://wikidata.dbpedia.org/ontology/PoliticalParty>
3481488	<http://wikidata.dbpedia.org/ontology/Politician>
3482126	<http://wikidata.dbpedia.org/ontology/PoloLeague>
3482109	<http://wikidata.dbpedia.org/ontology/Pope>
3481479	<http://wikidata.dbpedia.org/ontology/PopulatedPlace>
3481723	<http://wikidata.dbpedia.org/ontology/PowerStation>
3481971	<http://wikidata.dbpedia.org/ontology/Presenter>
3481902	<http://wikidata.dbpedia.org/ontology/President>
3481670	<http://wikidata.dbpedia.org/ontology/PrimeMinister>
3481910	<http://wikidata.dbpedia.org/ontology/Prison>
3481862	<http://wikidata.dbpedia.org/ontology/ProgrammingLanguage>
3482152	<http://wikidata.dbpedia.org/ontology/Project>
3481749	<http://wikidata.dbpedia.org/ontology/ProtectedArea>
3481778	<http://wikidata.dbpedia.org/ontology/Protein>
3481669	<http://wikidata.dbpedia.org/ontology/PublicTransitSystem>
3481928	<http://wikidata.dbpedia.org/ontology/Publisher>
3481986	<http://wikidata.dbpedia.org/ontology/Race>
3482115	<http://wikidata.dbpedia.org/ontology/Racecourse>
3481657	<http://wikidata.dbpedia.org/ontology/RaceHorse>
3482114	<http://wikidata.dbpedia.org/ontology/RaceTrack>
3481647	<http://wikidata.dbpedia.org/ontology/RacingDriver>
3481968	<http://wikidata.dbpedia.org/ontology/RadioHost>
3481842	<http://wikidata.dbpedia.org/ontology/RadioProgram>
3481610	<http://wikidata.dbpedia.org/ontology/RadioStation>
3481823	<http://wikidata.dbpedia.org/ontology/RailwayLine>
3481745	<http://wikidata.dbpedia.org/ontology/RailwayStation>
3482125	<http://wikidata.dbpedia.org/ontology/RailwayTunnel>
3481643	<http://wikidata.dbpedia.org/ontology/RecordLabel>
3481617	<http://wikidata.dbpedia.org/ontology/Region>
3482035	<http://wikidata.dbpedia.org/ontology/Religious>
